data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6999572,356,IND73123,73123,3/15/20,2020,1,Protests,Peaceful protest,Protesters (India),Teachers (India),6,60,Southern Asia,India,Tripura,West Tripura,Agartala,Agartala,23.833,91.2864,1,Assam Tribune,National,"On Mar 15 2020, members of 'All Tripura 10,323 Ad-hoc Teachers' Association', facing termination of jobs due to court orders, continued their sit-in demonstration at Agartala town (West Tripura district, Tripura) demanding alternative arrangements to keep their jobs. [size=no report]",0,1585061300,IND
6999844,356,IND73095,73095,3/15/20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (India),,3,37,Southern Asia,India,West Bengal,Darjeeling,Darjeeling,Darjeeling,27.0362,88.262,1,Siliguri Times,Subnational,"On Mar 15 2020, unidentified assailants attacked and assaulted the Central Advisor and former member of the Gorkha Janmukti Morcha (Binay faction) near the Darjeeling Railway Station in the city (Darjeeling district, West Bengal).",0,1585061301,IND
6999844,356,IND73095,73095,3/15/20,2020,1,Violence against civilians,Attack,Civilians (India),GJM: Gorkha Janmukti Morcha,7,37,Southern Asia,India,West Bengal,Darjeeling,Darjeeling,Darjeeling,27.0362,88.262,1,Siliguri Times,Subnational,"On Mar 15 2020, unidentified assailants attacked and assaulted the Central Advisor and former member of the Gorkha Janmukti Morcha (Binay faction) near the Darjeeling Railway Station in the city (Darjeeling district, West Bengal).",0,1585061301,IND
6999848,356,IND73085,73085,3/15/20,2020,1,Protests,Peaceful protest,Protesters (India),JD(U): Janata Dal (United),6,60,Southern Asia,India,West Bengal,Darjeeling,Siliguri,Siliguri,26.7272,88.3984,1,Siliguri Times,Subnational,"On Mar 15 2020, activists of Janata Dal (United) staged a rally in Siliguri town (Darjeeling district, West Bengal) demanding implementation of Bihar government's model on ban on alcohol in the district. [size=no report]",0,1585061301,IND
6999852,356,IND73150,73150,3/15/20,2020,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,2,12,Southern Asia,India,Maharashtra,Gadchiroli,Etapalli,Bodmeta,19.539,80.4172,1,South Asia Terrorism Portal,Other,"On 15 March 2020, an exchange of fire took place between Communist Party of India-Maoist (CPI-Maoist) cadres and a team of Central Reserve Police Force (CRPF) personnel out on a combing operation at Bodmeta village (Gadchiroli, Maharashtra). CPI cadres triggered Improvised Explosive Device (IED) and fled. No casualties reported.",0,1585061301,IND
6999852,356,IND73150,73150,3/15/20,2020,1,Battles,Armed clash,Police Forces of India (2014-) Central Reserve Police Force,,1,12,Southern Asia,India,Maharashtra,Gadchiroli,Etapalli,Bodmeta,19.539,80.4172,1,South Asia Terrorism Portal,Other,"On 15 March 2020, an exchange of fire took place between Communist Party of India-Maoist (CPI-Maoist) cadres and a team of Central Reserve Police Force (CRPF) personnel out on a combing operation at Bodmeta village (Gadchiroli, Maharashtra). CPI cadres triggered Improvised Explosive Device (IED) and fled. No casualties reported.",0,1585061301,IND
6999597,356,IND73068,73068,3/15/20,2020,1,Protests,Peaceful protest,Protesters (India),,6,60,Southern Asia,India,Haryana,Rewari,Rewari,Rewari,28.199,76.6183,2,Chandigarh Tribune,Subnational,"On March 15 2020, residents of Dhamlavas, Sundroj and Dhani Sundroj villages ended their indefinite protest near Rewari (Haryana) after the approval of demand to construct an underpass on the highway near Dhamlavas village. [size=no report]",0,1585061300,IND
6999854,356,IND73151,73151,3/15/20,2020,1,Battles,Armed clash,Naxal-Maoist Rebels (India),,2,12,Southern Asia,India,Chhattisgarh,Sukma,Konta,Amapenta,17.9845,80.9941,1,South Asia Terrorism Portal,Other,"On 15 March 2020, an exchange of fire took place between Maoists and a team of District Reserve Guards (DRG) and Special Task Forces (STF) in a forested area at Amapenta village (Sukma, Chhattisgarh). No casualties reported.",0,1585061301,IND
6999854,356,IND73151,73151,3/15/20,2020,1,Battles,Armed clash,Police Forces of India (2014-) Special Task Force,Police Forces of India (2014-) District Reserve Group,1,12,Southern Asia,India,Chhattisgarh,Sukma,Konta,Amapenta,17.9845,80.9941,1,South Asia Terrorism Portal,Other,"On 15 March 2020, an exchange of fire took place between Maoists and a team of District Reserve Guards (DRG) and Special Task Forces (STF) in a forested area at Amapenta village (Sukma, Chhattisgarh). No casualties reported.",0,1585061301,IND
6999600,356,IND73186,73186,3/15/20,2020,1,Battles,Armed clash,Military Forces of India (2014-) Rashtriya Rifles,Police Forces of India (2014-) Central Reserve Police Force; Police Forces of India (2014-) Special Operations Group,1,12,Southern Asia,India,Jammu and Kashmir,Anantnag,Dooru,Dialgam,33.6804,75.1647,1,Daily Excelsior,Subnational,"On 15 March 2020, Indian security forces comprising RR, CRPF and SoG in an encounter with LeT and HM militants at Dialgam village (Anantanag district, J&K) killed four militants.",4,1585061300,IND
6999600,356,IND73186,73186,3/15/20,2020,1,Battles,Armed clash,LeT: Lashkar-e-Taiba,HM: Hizb-ul-Mujahideen,2,12,Southern Asia,India,Jammu and Kashmir,Anantnag,Dooru,Dialgam,33.6804,75.1647,1,Daily Excelsior,Subnational,"On 15 March 2020, Indian security forces comprising RR, CRPF and SoG in an encounter with LeT and HM militants at Dialgam village (Anantanag district, J&K) killed four militants.",4,1585061300,IND
6999601,356,IND73188,73188,3/15/20,2020,1,Battles,Armed clash,Military Forces of India (2014-),Police Forces of India (2014-) Border Security Force,1,18,Southern Asia,India,Jammu and Kashmir,Poonch,Haveli,Kirni,33.7907,74.1579,2,Daily Excelsior,Subnational,"On 15 March 2020, military forces of India and Pakistan exchanged fire across the LoC at Kirni sector area (Poonch district, J&K).",0,1585061300,IND
6999601,356,IND73188,73188,3/15/20,2020,1,Battles,Armed clash,Military Forces of Pakistan (2018-),,8,18,Southern Asia,India,Jammu and Kashmir,Poonch,Haveli,Kirni,33.7907,74.1579,2,Daily Excelsior,Subnational,"On 15 March 2020, military forces of India and Pakistan exchanged fire across the LoC at Kirni sector area (Poonch district, J&K).",0,1585061300,IND
6999603,356,IND73187,73187,3/15/20,2020,1,Battles,Armed clash,Military Forces of India (2014-),Police Forces of India (2014-) Border Security Force,1,18,Southern Asia,India,Jammu and Kashmir,Kathua,Hiranagar,Hiranagar,32.4549,75.2719,2,Daily Excelsior,Subnational,"On 15 March 2020, military forces of India and Pakistan exchanged fire across the LoC at Manyari-Chorgali area in Hiranagar sector area (Kathua district, J&K).",0,1585061300,IND
